year,page,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,14,41.4,32.7,18.3,19.3,19.0,15.8,11.5,13.0,18.8,19.4,17.8,18.1
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,15,37.2,40.4,23.3,25.4,20.2,12.2,13.6,15.4,18.3,15.4,16.3,21.0
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,16,33.9,25.2,24.4,19.9,20.2,11.6,17.4,17.2,21.5,14.0,14.6,27.9
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,17,38.0,25.6,20.6,21.6,12.8,12.8,17.3,14.8,28.4,17.0,17.0,35.8
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,18,39.5,21.0,30.6,24.5,13.4,10.6,15.8,14.7,20.6,20.9,20.0,21.4
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,19,23.5,21.6,32.7,21.7,13.6,16.4,17.2,17.0,16.2,21.7,19.5,22.5
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,20,28.9,21.2,21.6,18.8,13.1,15.4,15.6,18.6,19.6,21.0,24.4,20.0
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,21,29.5,23.4,19.2,22.0,10.8,12.8,16.9,12.8,22.8,17.9,20.7,23.7
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,22,23.1,25.4,20.3,26.9,14.0,14.2,15.5,14.7,18.3,15.7,28.2,20.4
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,23,23.5,28.8,21.3,18.2,16.0,10.0,15.1,14.7,15.0,15.7,31.7,21.8
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,24,25.4,26.1,25.3,22.2,17.9,10.6,15.0,14.9,17.7,18.2,17.4,18.7
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,25,34.8,22.7,18.3,15.3,15.0,11.7,15.1,17.1,15.2,21.6,18.2,20.5
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,26,42.4,27.0,20.2,19.5,18.0,15.4,13.7,19.3,18.4,29.2,24.2,23.4
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,27,21.0,34.5,24.1,23.6,14.4,15.1,15.0,12.7,14.4,31.5,28.3,22.0
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,28,18.6,36.2,25.6,14.5,15.9,17.2,9.5,12.6,17.2,22.2,29.9,23.1
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,29,23.8,,21.3,16.0,17.5,17.4,13.3,13.7,18.4,22.1,21.1,21.8
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,30,26.2,,19.1,18.4,18.2,17.0,14.2,15.8,22.7,19.9,20.9,28.4
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,31,23.1,,25.7,,17.3,,15.3,14.8,,17.8,,34.3
